"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US1330185","ZCTA5 30185, Georgia","3892"
"8710000US1330187","ZCTA5 30187, Georgia","8740"
"8710000US1330188","ZCTA5 30188, Georgia","52380"
"8710000US1330189","ZCTA5 30189, Georgia","36859"
"8710000US1330204","ZCTA5 30204, Georgia","13493"
"8710000US1330205","ZCTA5 30205, Georgia","3061"
"8710000US1330206","ZCTA5 30206, Georgia","2958"
"8710000US1330213","ZCTA5 30213, Georgia","29384"
"8710000US1330214","ZCTA5 30214, Georgia","28913"
"8710000US1330215","ZCTA5 30215, Georgia","33665"
"8710000US1330216","ZCTA5 30216, Georgia","2159"
"8710000US1330217","ZCTA5 30217, Georgia","9433"
"8710000US1330218","ZCTA5 30218, Georgia","1974"
"8710000US1330220","ZCTA5 30220, Georgia","5533"
"8710000US1330222","ZCTA5 30222, Georgia","4042"
"8710000US1330223","ZCTA5 30223, Georgia","36769"
"8710000US1330224","ZCTA5 30224, Georgia","25197"
"8710000US1330228","ZCTA5 30228, Georgia","38569"
"8710000US1330230","ZCTA5 30230, Georgia","9103"
"8710000US1330233","ZCTA5 30233, Georgia","23218"
"8710000US1330234","ZCTA5 30234, Georgia","1934"
"8710000US1330236","ZCTA5 30236, Georgia","46434"
"8710000US1330238","ZCTA5 30238, Georgia","34713"
"8710000US1330240","ZCTA5 30240, Georgia","30014"
"8710000US1330241","ZCTA5 30241, Georgia","23176"
"8710000US1330248","ZCTA5 30248, Georgia","23249"
"8710000US1330250","ZCTA5 30250, Georgia","679"
"8710000US1330251","ZCTA5 30251, Georgia","2342"
"8710000US1330252","ZCTA5 30252, Georgia","41428"
"8710000US1330253","ZCTA5 30253, Georgia","49380"
"8710000US1330256","ZCTA5 30256, Georgia","2826"
"8710000US1330257","ZCTA5 30257, Georgia","4138"
"8710000US1330258","ZCTA5 30258, Georgia","2622"
"8710000US1330259","ZCTA5 30259, Georgia","3041"
"8710000US1330260","ZCTA5 30260, Georgia","23244"
"8710000US1330263","ZCTA5 30263, Georgia","53008"
"8710000US1330265","ZCTA5 30265, Georgia","31713"
"8710000US1330268","ZCTA5 30268, Georgia","9090"
"8710000US1330269","ZCTA5 30269, Georgia","35069"
"8710000US1330273","ZCTA5 30273, Georgia","14709"
"8710000US1330274","ZCTA5 30274, Georgia","31893"
"8710000US1330275","ZCTA5 30275, Georgia","19"
"8710000US1330276","ZCTA5 30276, Georgia","13866"
"8710000US1330277","ZCTA5 30277, Georgia","20270"
"8710000US1330281","ZCTA5 30281, Georgia","66140"
"8710000US1330284","ZCTA5 30284, Georgia","55"
"8710000US1330285","ZCTA5 30285, Georgia","707"
"8710000US1330286","ZCTA5 30286, Georgia","23490"
"8710000US1330288","ZCTA5 30288, Georgia","8929"
"8710000US1330289","ZCTA5 30289, Georgia","82"
"8710000US1330290","ZCTA5 30290, Georgia","8286"
"8710000US1330291","ZCTA5 30291, Georgia","21010"
"8710000US1330292","ZCTA5 30292, Georgia","5943"
"8710000US1330293","ZCTA5 30293, Georgia","2981"
"8710000US1330294","ZCTA5 30294, Georgia","39865"
